name;widthPx;heightPx;orientation;takenDate;latitude;longitude;cameraMake;cameraModel;lensMake;lensModel;iso;exposureTime;fNumber;focalLength;rating;keywords
photo_51.png;1500;1000;STANDARD;1583941053360;14.962422;102.090533;Canon;Canon EOS R;null;EF70-300mm f/4-5.6L IS USM;125;0.008;6.3;300.0;2;[cobra, sea life, animal, reptile, turtle, snake]
photo_52.png;1000;668;STANDARD;1563088871470;55.911316666666664;36.96348166666667;Canon;Canon EOS 70D;null;EF-S55-250mm f/4-5.6 IS STM;250;0.0025;7.1;250.0;0;[dxfoto, published]
photo_53.png;1000;668;STANDARD;1563088871470;55.911315916666666;36.9634819;Canon;Canon EOS 70D;null;EF-S55-250mm f/4-5.6 IS STM;250;0.0025;7.1;250.0;0;[honey bee, animal, insect, invertebrate, apidae, bee]
photo_54.tif;1200;800;STANDARD;1637818851450;null;null;Canon;Canon EOS 60D;null;EF-S15-85mm f/3.5-5.6 IS USM;400;0.03333333333333333;5.0;57.0;0;[]
photo_55.tif;1200;800;STANDARD;1637818851450;null;null;Canon;Canon EOS 60D;null;EF-S15-85mm f/3.5-5.6 IS USM;400;0.03333333333333333;5.0;57.0;0;[]
photo_56.tif;1200;800;STANDARD;1637818851450;null;null;Canon;Canon EOS 60D;null;EF-S15-85mm f/3.5-5.6 IS USM;400;0.03333333333333333;5.0;57.0;0;[]
photo_57.cr2;5184;3456;STANDARD;1638761253820;null;null;Canon;Canon EOS 60D;null;EF-S15-85mm f/3.5-5.6 IS USM;400;0.016666666666666666;5.0;24.0;0;[]
photo_58.raf;4416;2944;STANDARD;1684514510000;null;null;FUJIFILM;X-T4;FUJIFILM;XC35mmF2;400;0.025;4.0;35.0;0;[]
photo_59.webp;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;[]
photo_61.gif;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;[]
photo_62.nef;4992;3280;STANDARD;1407828658100;null;null;NIKON CORPORATION;NIKON D5100;null;null;200;0.00625;6.3;30.0;null;[]
photo_63.arw;4288;2858;STANDARD;1265033028000;null;null;SONY;DSLR-A500;null;null;200;0.016666666666666666;8.0;18.0;null;[]
photo_64.rw2;null;null;STANDARD;1416431264000;null;null;Panasonic;DMC-LX7;null;null;null;0.016666666666666666;1.4;4.7;null;[]
photo_65.orf;3680;2760;STANDARD;1419774657000;null;null;OLYMPUS IMAGING CORP.  ;XZ-1            ;null;null;100;0.0015625;4.0;15.27;null;[]
photo_66.dng;5344;3516;STANDARD;1638761253820;null;null;Canon;Canon EOS 60D;null;EF-S15-85mm f/3.5-5.6 IS USM;400;0.016666666666666666;5.0;24.0;null;[]
photo_67.dng;6240;4160;STANDARD;1684514510000;null;null;FUJIFILM;X-T4;FUJIFILM;XC35mmF2;400;0.025;4.0;35.0;null;[]
photo_68.dng;4948;3280;STANDARD;1407828658100;null;null;NIKON CORPORATION;NIKON D5100;null;18.0-55.0 mm f/3.5-5.6;200;0.00625;6.3;30.0;null;[]
photo_69.dng;4288;2858;STANDARD;1265033028000;null;null;SONY;DSLR-A500;null;DT 18-55mm F3.5-5.6 SAM;200;0.016666666666666666;8.0;18.0;null;[]
photo_70.dng;3664;2752;STANDARD;1416431264000;null;null;Panasonic;DMC-LX7;null;null;160;0.016666666666666666;1.4;4.7;null;[]
photo_71.dng;3680;2760;STANDARD;1419774657000;null;null;OLYMPUS IMAGING CORP.;XZ-1;null;null;100;0.0015625;4.0;15.27;null;[]
